Date,New Users,Meetings/Webinars,Participants,Meeting Minutes
2018-08-01,0,14,49,2302
2018-08-02,0,4,18,875
2018-08-03,0,5,15,667
2018-08-04,0,0,0,0
2018-08-05,0,0,0,0
2018-08-06,0,7,37,1456
2018-08-07,0,8,55,2057
2018-08-08,0,2,19,541
2018-08-09,0,13,44,1441
2018-08-10,0,2,5,51
2018-08-11,0,1,2,2
2018-08-12,0,1,2,68
2018-08-13,0,10,42,1945
2018-08-14,0,3,49,8014
2018-08-15,0,13,95,10247
2018-08-16,0,9,38,1351
2018-08-17,0,3,14,433
2018-08-18,0,0,0,0
2018-08-19,0,1,2,10
2018-08-20,0,9,34,1366
2018-08-21,0,11,42,2244
2018-08-22,0,7,19,734
2018-08-23,0,7,35,1446
2018-08-24,0,2,4,143
2018-08-25,0,0,0,0
2018-08-26,0,0,0,0
2018-08-27,0,3,29,442
2018-08-28,0,4,28,2961
2018-08-29,0,10,85,4851
2018-08-30,0,8,32,1605
2018-08-31,0,3,10,184
